id;start_date;end_date;language
1;2020-11-10T10:01:05;2020-11-10T07:51:20;SPANISH
2;2020-11-09T14:51:16;2020-11-10T09:55:41;SPANISH
3;2020-11-10T05:46:35;2020-11-09T16:20:44;FRENCH
4;2020-11-09T21:04:06;2020-11-10T08:35:32;FRENCH
5;2020-11-10T06:34:24;2020-11-10T11:21:23;FRENCH
6;2020-11-10T00:26:45;2020-11-10T12:34:59;FRENCH
7;2020-11-10T02:12:05;2020-11-09T20:02:56;FRENCH
8;2020-11-10T01:08:18;2020-11-10T11:24:26;SPANISH
9;2020-11-09T23:49:27;2020-11-09T20:30:50;SPANISH
10;2020-11-10T08:01:31;2020-11-09T18:36:01;SPANISH
